159,Gran Torino,2008,8.124
160,The Sixth Sense,1999,8.123
161,Fargo,1996,8.122
162,There Will Be Blood,2007,8.121
163,The Deer Hunter,1978,8.121
164,The Thing,1982,8.12
165,Finding Nemo,2003,8.117
166,The Big Lebowski,1998,8.115
167,Come and See,1985,8.112
168,Cool Hand Luke,1967,8.106
169,Kill Bill: Vol. 1,2003,8.104
170,Sunrise,1927,8.104
171,Rebecca,1940,8.103
172,Tokyo Story,1953,8.101
173,Shutter Island,2010,8.099
174,The Bandit,1996,8.098
175,Tu ne tueras point,2016,8.098
176,How to Train Your Dragon,2010,8.096
177,Mary et Max.,2009,8.096
178,Gone Girl,2014,8.093
179,Andrei Rublev,1966,8.088
180,Into the Wild,2007,8.088
181,Life of Brian,1979,8.087
182,Les nouveaux sauvages,2014,8.086
183,Blade Runner 2049,2017,8.083
184,It Happened One Night,1934,8.082
185,Rang De Basanti,2006,8.081
186,Platoon,1986,8.078
187,The Passion of Joan of Arc,1928,8.077
188,Au nom du père,1993,8.077
189,Network,1976,8.075
190,Stand by Me,1986,8.075
191,Hotel Rwanda,2004,8.074
192,The Grand Budapest Hotel,2014,8.074
193,The Wages of Fear,1953,8.073
194,Jurassic Park,1993,8.072
195,Stalker,1979,8.072
196,Ben-Hur,1959,8.071
197,Rush,2013,8.07
198,Persona,1966,8.07
199,12 Years a Slave,2013,8.067
200,Memories of Murder,2003,8.067
201,The Truman Show,1998,8.067
202,Million Dollar Baby,2004,8.066
203,The 400 Blows,1959,8.065
204,Mad Max: Fury Road,2015,8.064
205,Spotlight,2015,8.062
206,Logan,2017,8.059
207,Amores Perros,2000,8.058
208,Before Sunrise,1995,8.057
209,Hachi: A Dog's Tale,2009,8.055
210,Butch Cassidy and the Sundance Kid,1969,8.053
211,Prisoners,2013,8.051
212,The Princess Bride,1987,8.05
213,Nausicaä of the Valley of the Wind,1984,8.05
214,La La Land,2016,8.047
215,Catch Me If You Can,2002,8.043
216,Harry Potter and the Deathly Hallows: Part 2,2011,8.041
217,The Maltese Falcon,1941,8.04
218,Rocky,1976,8.038
219,A Wednesday,2008,8.038
220,The Grapes of Wrath,1940,8.034
221,The Nights of Cabiria,1957,8.033
222,Monsters, Inc.,2001,8.031
223,Diabolique,1955,8.029
224,Donnie Darko,2001,8.028
225,Barry Lyndon,1975,8.028
226,Paper Moon,1973,8.026
227,Gandhi,1982,8.026
228,The Terminator,1984,8.023
229,Touch of Evil,1958,8.022
230,La Haine,1995,8.021
231,Groundhog Day,1993,8.021
232,The Wizard of Oz,1939,8.02
233,Dead Poets Society,1989,8.017
234,The Bourne Ultimatum,2007,8.017
235,Annie Hall,1977,8.016
236,8½,1963,8.015
